id,assignee_id,created_at,subject,description,status,submitter_id,requester_id,updated_at,due_at,about,business name,dept,emp id,product information,start date,subscription,tags
3299,,2017-11-22T18:00:28Z,Bubble Tea?,Can you add a bubble tea vendor? It's my favorite.,assigned,7858119547,7858119547,2018-12-04T03:34:39Z,,billing,Sambo's,customer_support,43782532,product_3,12/3/18,gold,"['apac', 'customer', 'emea_region', 'gold', 'paid', 'plan_gold', 'san_francisco', 'training']"
3300,8129791828,2017-11-22T18:00:29Z,Local Farmers Markets,"Hi, are there any future plans to include mid-week farmer's market deliveries?",open,7929180588,7929180588,2018-04-23T10:52:07Z,,becoming_a_merchant__billing,Turtle's Records & Tapes,marketing__a,80521450,,5/24/18,silver,"['amer_region', 'nullify_urgent', 'paid', 'plan_gold', 'vip_user']"
3311,,2017-11-23T18:00:26Z,Refund,I'd like a refund of my recent order. The pizza was late and cold.,assigned,7929180588,7929180588,2018-09-03T17:02:16Z,,general_support_request,White Hen Pantry,sales,34471532,product_2,5/25/19,silver,"['amer_region', 'emea', 'paid', 'plan_gold', 'vip_user']"
3313,8129791828,2017-11-23T18:00:27Z,Can't remember password,My password has slipped my mind. Can you tell me what it is?,waiting,7858174327,7858174327,2018-12-04T03:30:31Z,,,Ejecta,,30382545,product_2,8/6/18,platinum,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'jennifer', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3315,7858096207,2017-11-24T22:00:15Z,New vendor request,I wish you guys would add Snowman Pizza to your list of vendors. Their pepperoni pizza is on point!,waiting,7858119547,7858119547,2018-07-24T18:01:09Z,,complaint,Scott Ties,marketing__b,50033592,,5/27/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold', 'reminder']"
3316,7858096207,2017-11-24T22:00:16Z,Local Farmers Markets,"Hi, are there any future plans to include mid-week farmer's market deliveries?",assigned,7858174327,7858174327,2018-12-04T03:30:31Z,,general_support_request,Copeland Sports,marketing__a,75262206,product_1,5/19/18,platinum,"['amer_region', 'apac', 'aus_nsw', 'no_csat', 'nullify_low', 'paid', 'plan_gold', 'vip', 'vip_user']"
3317,,2017-11-24T22:00:17Z,Any PROMO Codes?,"Hi, I was wondering if there are any available promo codes right now?",waiting,7858067547,7858067547,2018-07-24T18:01:10Z,,billing,Soul Sounds Unlimited,customer_support,48602669,product_1,8/9/18,gold,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'nullify_pending', 'paid', 'product_a', 'reminder', 'subscription_silver']"
3322,8129791828,2017-11-24T22:00:20Z,Styling service?,"Hi, I really hate shopping, it would be great if you added a styling service! ",waiting,7858119547,7858119547,2018-07-24T18:01:10Z,,,Total Network Development,sales,67898702,product_2,4/24/19,silver,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold', 'reminder']"
3323,,2017-11-24T22:00:21Z,SPRING promo code error,Hi! I cannot get the SPRING promo code to work on my order. Can you help ASAP?,waiting,7858067547,7858067547,2018-07-24T18:01:10Z,,becoming_a_merchant__billing,Rainbow Bay Crafts,sales,60661705,product_1,3/27/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'product_a', 'reminder', 'subscription_silver', 'training']"
3325,8129791828,2017-11-27T16:00:44Z,Gross,Hello. I ordered the Fennel Ice Cream from Ice Cold Creamery but it tasted like a tree branch. Can I please try something else at no charge?,assigned,7858174327,7858174327,2018-12-04T03:30:30Z,,billing,Carl Durfees,marketing__a,6123291,product_1,5/28/18,gold,"['amer_region', 'apac', 'aus_nsw', 'no_csat', 'nullify_low', 'paid', 'plan_gold', 'vip', 'vip_user']"
3328,,2017-11-27T16:00:46Z,Order delay,My Courier disappeared and my order was never delivered this morning. Can I please get an explanation and a refund?,waiting,7858119547,7858119547,2018-07-24T18:01:10Z,,general_support_request,Planet Pizza,marketing__b,24359415,product_2,5/4/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold', 'reminder']"
3329,11321745068,2017-11-27T16:00:47Z,Patrick is the best Courier!,Hi. I just wanted to let you know that Patrick was the most polite and punctual courier ever! He delivered my morning coffee in under 10 minutes. He deserves a raise!,assigned,7929180588,7929180588,2018-08-01T14:34:09Z,,training,Mages,sales,32237041,,12/21/19,platinum,"['amer_region', 'emea', 'food_delivery', 'nullify_low', 'paid', 'plan_gold', 'vip_user']"
3330,8129791828,2017-11-27T16:00:48Z,Help me reset my password,I can't log into your site. How do I reset my password?,waiting,7858119547,7858119547,2018-07-24T18:01:11Z,,complaint,Universal Design Partners,,56018309,product_2,2/16/18,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'jennifer', 'paid', 'plan_gold', 'reminder']"
3332,,2017-11-27T16:00:49Z,Can't remember password,My password has slipped my mind. Can you tell me what it is?,waiting,7929180588,7929180588,2018-07-24T18:01:11Z,,billing,The Happy Bear,finance,5207587,product_3,2/19/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'jennifer', 'nullify_urgent', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3333,,2017-11-27T16:00:50Z,Damaged order,"Hey there- I ordered a burrito, chips & guac, but my chips were all shaken up and broken. Can I get a refund on those? ",waiting,7858174327,7858174327,2018-12-04T03:30:30Z,,training,ManPower,customer_support,77120529,,11/24/19,silver,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3335,,2017-11-27T16:00:51Z,Changing driver rating,"Hello, I accidentally rated my last courier Steve 4 stars, but I meant to press 5. Any way to change that?",waiting,7858174327,7858174327,2018-12-04T03:30:30Z,,billing,Circuit City,customer_support,55261573,,10/15/19,platinum,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'general_support_request', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3336,,2017-11-27T16:00:52Z,Drinking straw policy,Can your drivers pick up two straws when they deliver? Sometimes I like to share my milkshake with my boyfriend.,waiting,7929180588,7929180588,2018-07-24T18:01:12Z,,becoming_a_courier,Mages,marketing__a,72140281,product_1,10/4/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3337,7858096207,2017-11-27T16:00:53Z,Ice cream cake was melted,"Hey guys, I ordered an ice cream cake from Ice Cold Creamery, but the inside was half-melted before it arrive. Can I get a refund?",waiting,7858174327,7858174327,2018-12-04T03:30:29Z,,general_support_request,Shoe Town,marketing__b,55699940,product_2,2/17/19,platinum,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3338,,2017-11-27T16:00:53Z,Reviews on items,I'd love it if you would add a ratings section to each item that a vendor has for sale. That way I'd know if Tim's Big Nachos are really worth the calories.,waiting,7929180588,7929180588,2018-07-24T18:01:13Z,,food_delivery,Quality Merchant Services,finance,62015674,product_1,1/11/19,platinum,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'nullify_urgent', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3339,,2017-11-27T16:00:54Z,Payment options,Why don't you let me use cash? I could pay the driver when he/she gets to my door.,waiting,7929180588,7929180588,2018-07-24T18:01:13Z,,complaint,The Independent Planners,sales,45242353,product_2,3/6/19,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'nullify_urgent', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3342,3.6453E+11,2017-11-27T16:00:57Z,Premium,"Hi, I am interested in switching to premium. What are the benefits?",retracted,7929180588,7929180588,2018-09-29T08:03:27Z,,general_support_request,Eden Lawn Service,sales,50054529,product_1,4/7/19,platinum,"['amer_region', 'emea', 'nullify_low', 'paid', 'plan_gold', 'training', 'vip_user']"
3351,8129791828,2017-11-28T22:00:17Z,Hummus tasted gross,"Hi, I placed an order for pita & hummus, along with a couple of other tapas. The hummus definitely didn't have tahini in it, so it tasted pretty terrible. Can I get a refund?",open,7858174327,7858174327,2018-12-04T03:30:29Z,,food_delivery,Gas Zone,sales,65014922,product_3,9/15/19,platinum,"['amer_region', 'apac', 'aus_nsw', 'no_csat', 'paid', 'plan_gold', 'vip', 'vip_user']"
3352,,2017-11-28T22:00:17Z,Colors in app,"Hello, Can you get your development team to use darker text colors? It's really hard to read the light grey text that's sometimes used in your app.",waiting,7858119547,7858119547,2018-07-24T18:01:13Z,,becoming_a_merchant__invoice,Lindsley's Lumber,customer_support,68383724,product_2,6/18/18,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold']"
3353,3.6453E+11,2017-11-28T22:00:18Z,Gluten free options?,"Hello, I'm highly gluten intolerant. I see you mark gluten-free items on your website. However, will my order travel next to anyone elses? Or does a driver only work on one order at a time. I don't want to have any cross-contamination. Thanks!",retracted,7929180588,7929180588,2018-09-29T08:03:27Z,,general_support_request,Builders Emporium,marketing__b,14025752,product_1,1/7/18,,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3354,22407851608,2017-11-28T22:00:19Z,Healthier food options needed!,"I really wish that you'd have healthier food options, like sushi or salads or juice blends. Everything you have seems to be fried food :(",done,7858174327,7858174327,2018-12-16T18:02:07Z,,complaint,Mars Music,sales,51189102,product_3,2/14/19,,"['amer_region', 'apac', 'aus_nsw', 'complaint', 'no_csat', 'paid', 'plan_gold', 'vip', 'vip_user']"
3355,3.6453E+11,2017-11-28T22:00:19Z,Food over an hour late,"Hi, my lunch was delivered an hour later than the estimated arrival time today. Can I get a discount or promo code for my next order? ",done,7858067547,7858067547,2018-09-29T08:03:27Z,,training,McDuff,marketing__a,45295385,,11/20/19,platinum,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3357,,2017-11-28T22:00:21Z,Refund,I'd like a refund of my recent order. The pizza was late and cold.,assigned,7858067547,7858067547,2018-06-01T15:48:48Z,,becoming_a_courier,Cellophane Square,,16742388,product_1,4/27/18,platinum,"['amer_region', 'escalated', 'gold', 'paid', 'product_a', 'subscription_silver']"
3358,3.6453E+11,2017-11-28T22:00:22Z,Refund,I'd like a refund of my recent order. The pizza was late and cold.,done,7929180588,7929180588,2018-09-29T08:03:27Z,,,Second Time Around,,90348222,,2/25/18,silver,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3363,3.6453E+11,2017-11-29T18:00:21Z,Yearly subscription?,Is there a yearly subscription/membership available? I like to pay things all at once!,retracted,7858067547,7858067547,2018-09-29T08:03:28Z,,training,Integra Wealth,customer_support,57868501,product_3,4/11/18,silver,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3365,11321745068,2017-11-29T18:00:23Z,Changing driver rating,"Hello, I accidentally rated my last courier Steve 4 stars, but I meant to press 5. Any way to change that?",open,7858174327,7858174327,2018-12-04T03:30:29Z,2018-02-07T20:00:00Z,becoming_a_courier,Thompson,marketing__a,4469117,product_2,5/30/19,,"['amer_region', 'apac', 'aus_nsw', 'no_csat', 'paid', 'plan_gold', 'vip', 'vip_user']"
3367,8129791828,2017-11-29T18:00:24Z,Still being charged for deliveries,"I am a Premium member, but I keep getting charged for each delivery. What gives?",waiting,7929180588,7929180588,2018-07-24T18:01:14Z,,training,Ransohoffs,marketing__b,60464308,product_1,10/12/18,silver,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3368,3.6453E+11,2017-11-29T18:00:26Z,Ring the buzzer!,"Every time something is delivered, the courier calls me and I have to trek down the stairs to let him in. Can they please ring the buzzer?",done,7858067547,7858067547,2018-09-29T08:03:28Z,,becoming_a_merchant__billing,You Are Successful,marketing__b,59640804,product_3,7/2/19,gold,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3369,3.6453E+11,2017-11-29T18:00:27Z,Bubble Tea?,Can you add a bubble tea vendor? It's my favorite.,retracted,7858119547,7858119547,2018-09-29T08:03:28Z,,becoming_a_merchant__invoice,Better Business Ideas and Services,marketing__a,44786552,product_2,10/29/18,gold,"['amer_region', 'gold', 'paid', 'plan_gold', 'training']"
3370,3.6453E+11,2017-11-29T18:00:28Z,Change CC info,"Hi, I would like to change my credit card info on my account. How can I do this?",retracted,7858119547,7858119547,2018-09-29T08:03:28Z,,,Seamans Furniture,marketing__b,67858897,,11/30/18,platinum,"['amer_region', 'gold', 'paid', 'plan_gold', 'training']"
3371,3.6453E+11,2017-11-29T18:00:28Z,Local Farmers Markets,"Hi, are there any future plans to include mid-week farmer's market deliveries?",retracted,7929180588,7929180588,2018-09-29T08:03:29Z,,training,Eli Moore Inc,marketing__a,79273587,product_3,3/26/19,platinum,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3372,22407851608,2017-11-29T18:00:29Z,Password,Please help me reset my password.,done,7858174327,7858174327,2018-12-16T18:02:08Z,,training,Payless Cashways,sales,56763,product_1,8/28/19,bronze,"['amer_region', 'apac', 'aus_nsw', 'complaint', 'no_csat', 'paid', 'plan_gold', 'vip', 'vip_user']"
3373,3.6453E+11,2017-11-30T18:00:16Z,Can't remember password,My password has slipped my mind. Can you tell me what it is?,retracted,7929180588,7929180588,2018-09-29T08:03:29Z,,becoming_a_merchant__invoice,Chief Auto Parts,sales,29105275,,2/3/19,gold,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3375,3.6453E+11,2017-11-30T18:00:17Z,Gluten free options?,"Hello, I'm highly gluten intolerant. I see you mark gluten-free items on your website. However, will my order travel next to anyone elses? Or does a driver only work on one order at a time. I don't want to have any cross-contamination. Thanks!",retracted,7929180588,7929180588,2018-09-29T08:03:29Z,,complaint,Jafco,marketing__a,53477589,product_2,12/13/18,platinum,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3377,,2017-11-30T18:00:19Z,Premium,"Hi, I am interested in switching to premium. What are the benefits?",waiting,7929180588,7929180588,2018-07-24T18:01:14Z,,food_delivery,You Are Successful,finance,52183304,product_3,8/15/18,bronze,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3378,3.6453E+11,2017-11-30T18:00:20Z,Styling service?,"Hi, I really hate shopping, it would be great if you added a styling service! ",done,7858119547,7858119547,2018-09-29T08:03:29Z,,general_support_request,Intelli Wealth Group,customer_support,78125598,product_2,9/30/18,bronze,"['amer_region', 'gold', 'paid', 'plan_gold', 'training']"
3379,3.6453E+11,2017-11-30T18:00:20Z,I want to work for EatWell! ,I love your app so much that I want to work with you guys! Do you have any openings?,done,7858067547,7858067547,2018-09-29T08:03:30Z,,becoming_a_merchant__invoice,Nedick's,finance,92406022,product_1,5/28/19,,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3381,11321745068,2017-11-30T18:00:22Z,Password Help,Please help me reset my password.,waiting,7929180588,7929180588,2018-07-24T18:01:14Z,,training,Belle Ladi,sales,20486738,product_3,11/4/18,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3383,3.6453E+11,2017-12-01T03:21:50Z,Missed Chat with Visitor 23590364,"Chat started: 2017-12-01 03:16 AM UTC
Served by: Beatrix Abbott - CE

IP: 75.25.142.72
User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36
Country: United States
City: Oakland
URL: https://eatwell.zendesk.com/hc/en-us",done,27869766668,27869766668,2018-09-29T08:03:30Z,,general_support_request,ManCharm,,91184950,product_2,3/6/18,platinum,"['eat_well', 'training', 'zopim_chat', 'zopim_chat_ended', 'zopim_chat_missed']"
3384,3.6453E+11,2017-12-01T03:22:44Z,Chat with Visitor 46979454,"Chat started: 2017-12-01 03:22 AM UTC
Served by: Beatrix Abbott - CE

IP: 75.25.142.72
User Agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.109 Safari/537.36
Country: United States
City: Oakland
URL: https://eatwell.zendesk.com/hc/en-us

The chat transcript will be appended when the agent or visitor leaves the chat.",done,7929180588,7929180588,2018-09-29T08:03:30Z,,training,Rivera Property Maintenance,sales,3962807,product_3,3/19/19,,"['amer_region', 'apac', 'aus_nsw', 'eat_well', 'emea', 'no_csat', 'paid', 'plan_silver', 'training', 'vip_user', 'zopim_chat', 'zopim_chat_ended']"
3387,,2017-12-01T22:00:13Z,Help me reset my password,I can't log into your site. How do I reset my password?,waiting,7858174327,7858174327,2018-12-04T03:30:28Z,,becoming_a_courier,Steve's Ice Cream,marketing__b,47282556,,1/9/19,gold,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3388,11321745068,2017-12-01T22:00:14Z,New vendor request,I wish you guys would add Snowman Pizza to your list of vendors. Their pepperoni pizza is on point!,open,7929180588,7929180588,2018-07-09T11:35:17Z,,billing,Universo Realtors,,10368390,product_1,12/21/19,silver,"['amer_region', 'emea', 'paid', 'plan_gold', 'vip_user']"
3391,3.6453E+11,2017-12-01T22:00:16Z,Gluten free options?,"Hello, I'm highly gluten intolerant. I see you mark gluten-free items on your website. However, will my order travel next to anyone elses? Or does a driver only work on one order at a time. I don't want to have any cross-contamination. Thanks!",done,7929180588,7929180588,2018-09-29T08:03:30Z,,becoming_a_merchant__invoice,Mr. D's IGA,finance,46402314,product_3,12/22/19,platinum,"['amer_region', 'emea', 'paid', 'plan_gold', 'training', 'vip_user']"
3393,,2017-12-01T22:00:17Z,Add second address,I would like to add a second delivery address to my account. How do I do this?,waiting,7858119547,7858119547,2018-07-24T18:01:15Z,,food_delivery,Richman Brothers,sales,40568948,product_2,8/23/18,silver,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold', 'reminder']"
3394,3.6453E+11,2017-12-01T22:00:18Z,Refund request ,My ice cream cone was soup...,done,7858067547,7858067547,2018-09-29T08:03:30Z,,,Rainbow Bay Crafts,finance,33825829,product_2,1/21/19,gold,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3395,3.6453E+11,2017-12-01T22:00:18Z,Password,Please help me reset my password.,retracted,7858067547,7858067547,2018-09-29T08:03:31Z,,complaint,Bell Markets,marketing__a,31488003,product_1,2/24/19,platinum,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
3397,11321745068,2017-12-04T16:00:37Z,Order delay,My Courier disappeared and my order was never delivered this morning. Can I please get an explanation and a refund?,waiting,7858119547,7858119547,2018-07-24T18:01:15Z,,training,Full Color,sales,79293831,product_1,12/18/18,platinum,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'gold', 'paid', 'plan_gold', 'reminder']"
3398,3.6453E+11,2017-12-04T16:00:38Z,I can't sign in,Help! I can't sign into your site and I need to order tons of rootbeer for a party I'm hosting!,retracted,7858119547,7858119547,2018-09-29T08:03:31Z,,complaint,Lazysize,sales,76524739,,10/11/18,gold,"['amer_region', 'gold', 'paid', 'plan_gold', 'training']"
3400,8129791828,2017-12-04T16:00:39Z,Speedy service!,Thank you for the speedy service today! You are a lifesaver!,waiting,7929180588,7929180588,2018-07-24T18:01:16Z,,food_delivery,Fretter,finance,84094601,product_2,3/17/18,gold,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3401,,2017-12-04T16:00:40Z,Damaged order,"Hey there- I ordered a burrito, chips & guac, but my chips were all shaken up and broken. Can I get a refund on those? ",waiting,7858174327,7858174327,2018-12-04T03:30:28Z,,billing,Multicerv,finance,34988383,,6/6/18,platinum,"['amer_region', 'apac', 'aus_nsw', 'customer_reminder', 'customer_reminder_1', 'no_csat', 'paid', 'plan_gold', 'reminder', 'vip', 'vip_user']"
3402,8129791828,2017-12-04T16:00:40Z,New vendor request,I wish you guys would add Snowman Pizza to your list of vendors. Their pepperoni pizza is on point!,waiting,7929180588,7929180588,2018-07-24T18:01:16Z,,complaint,Expo Superstore,customer_support,66018315,product_1,11/5/19,,"['amer_region', 'customer_reminder', 'customer_reminder_1', 'emea', 'paid', 'plan_gold', 'reminder', 'vip_user']"
3403,3.6453E+11,2017-12-04T16:00:41Z,Overpriced and sad,"Hello, why are some of your prices sooo much higher than in the actual store? I get that you have to make money, but a bag of candy shouldn't cost $3. That is all.",retracted,7858067547,7858067547,2018-09-29T08:03:31Z,,,Raleigh's,customer_support,34908926,,5/27/19,silver,"['amer_region', 'gold', 'paid', 'product_a', 'subscription_silver', 'training']"
